Product ID,Active (0/1),Name *,Name2,Name1+Name2,"Categories (x,y,z...)",Price tax included,Manufacturer,Quantity,Minimal quantity,Short description,FAO,Description (описание),"Tags (x,y,z...)",Meta title,Meta keywords,Meta description,Text when in stock,"Image URLs (x,y,z...)"
,1,Кукурудза ,ДМС Тренд,Кукурудза  ДМС Тренд,"14,22",3000,3,,,,290,"Гибрид интенсивного типа, очень хорошо реагирует на улучшение условий выращивания по интенсивой технологии.

Отличается высокими показателями жаро- и сухостойкости, но наибольшую продуктивность формирует при благоприятных условиях увлажнения.

Рекомендуем для выращивания в Лесостепи и Полесье.

Семена кукурузы ДМС Тренд можно высевать при температуре почвы +9-10°С, т.к. растения способны к форсированому стартовому росту.

Достигает спелости в состоянии живых листьев ы быстро теряет влажность при созревании.

Растения гибрида ДМС Тренд формируют хорошо озерненный початок с 18-20 рядами зерен.

Эта особенность обеспечивает наибольший выход зерна с початка.

В испытаниях в Кировоградской области гибрид ДМС Тренд показал урожайность сухого зерна 108,7 ц/га с уборочной влажностью 17%.

Эти показатели превышали зарубежные аналоги на 5,5-10,2 ц/га, показатели влажности зерна были на 0,9-1,2% ниже.

Максимальный урожай этого гибрида был зафиксирован в США – 159,9 ц/га.","кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,Мрія МС,Кукурудза  Мрія МС,"14,22",1300,3,,,,190,Мрія МС (ФАО 190)- раннеспелый гибрид кукурузы в Украине от компании МАИС.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,ДМС Лорд,Кукурудза  ДМС Лорд,"14,22",1300,3,,,,190,"Гибрид кукурузы ДМС Лорд используется для выращивания на зерно практически во всех почвенно-климатических зонах: от южной Степи до Полесья.

В северных регионах гибрид можно выращивать для производства силоса.

Зерно у гибрида ДМС Лорд кремнисто-зубовидное. Благодаря повышеной холодостойкости этот гибрид можно высевать в ранние сроки, когда температура почвы достигнет +8-9°С. При этом уже в августе получают сухое зерно кукурузы, что может быть  предпосылкой использования его как предшественника под озимые культуры.

Гибрид скороспелый, при созревании очень быстро теряет влажность. ДМС Лорд можно выращивать при поздных посевах. При таких условиях растения не только формируют сухое зерно, но и не понижают зерновой продуктивности. По данным испытаний посев гибрида ДМС Лорд в период с 10 апреля по 10 мая не приводила к существенным изменениям урожайности, а влажность зерна не превышала 14%. И только при поздних посевах во второй половине мая происходило резкое снижение продуктивности и повышение влажности зерна.

Гибрид может использоваться при выращивании с использованием минимизированых ресурсосберегающих технологий.

При этом потенциал продуктивности гибрида может достигать 8,5 т/га в Степи и 13,8 т/га в Полесье.","кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,ДМС Бенефіс,Кукурудза  ДМС Бенефіс,"14,22",1300,3,,,,320,ДМ  Бенефис (ФАО 320) — новый гибрид кукурузы селекции Компании Маис. Относится к среднеспелой группе спелости. Гибрид отличается высокой стойкостью к засухе.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,ДМС Гранд,Кукурудза  ДМС Гранд,"14,22",1300,3,,,,340,ДМС Гранд (ФАО 340) — новый гибрид кукурузы селекции Компании Маис. Относится к среднеспелой группе спелости. Гибрид отличается высокой стойкостью к засухе.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,ДМС 4014,Кукурудза  ДМС 4014,"14,22",1300,3,,,,390,ДМС 4014 (ФАО 390)- среднеспелый гибрид кукурузы в Украине.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,ДМС Супер,Кукурудза  ДМС Супер,"14,22",1150,3,,,,220,"ДМС Супер (ФАО 220) — среднеранний гибрид кукурузы зернового направления использования. Но в центральных и северных районах выращивания может быть использован и для силоса, т.к. имеет хорошо развитый листостебельный аппарат.","кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,ДМС Гроно,Кукурудза  ДМС Гроно,"14,22",1150,3,,,,260,ДМС Гроно (ФАО 260) — среднеранний простой гибрид кукурузы Компании МАИС в Украине. Рекомендован для Лесостепи и Полесья.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,ДМ Вікторія,Кукурудза  ДМ Вікторія,"14,22",1150,3,,,,290,ДМ Вікторія (ФАО 290) - среднеранний гибрид кукурузы в Украине от компании МАИС.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,Редвайн (червоне зерно),Кукурудза  Редвайн (червоне зерно),"14,22",1150,3,,,,290,Редвайн (червоне зерно) (ФАО 290)- среднеранний гибрид кукурузы в Украине от компании МАИС.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,ДМС 3111,Кукурудза  ДМС 3111,"14,22",1150,3,,,,310,ДМС 3111 (ФАО 310) — семена среднеспелого гибрида кукурузы в Украине.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,ДМС 3411,Кукурудза  ДМС 3411,"14,22",1150,3,,,,340,ДМС 3411 (ФАО 360) — среднеспелый простой модифицированный гибрид кукурузы от украинского производителя Компании Маис.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,Візир,Кукурудза  Візир,"14,22",1150,3,,,,350,"Визир (ФАО 350) — среднеранний простой межлинейный гибрид кукурузы. Характеризуется как высокоустойчивый к пузырчатой и пыльной головне, кукурузному мотыльку. Вегетационный период составляет 112 — 123 дней.","кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,ДМС 3709,Кукурудза  ДМС 3709,"14,22",1150,3,,,,370,ДМС 3709 (ФАО 370) — среднеспелый простой межлинейный гибрид кукурузы. Рекомендован для выращивания в ригионах Степи и Лесостепи.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
,1,Кукурудза ,ДМС 4011,Кукурудза  ДМС 4011,"14,22",1150,3,,,,400,ДМС 4011 (ФАО 410) — среднепоздний простой межлинейный гибрид кукурузы от производителя семян в Украине Компании Маис.,"кукурудза, кукуруза",,,,,http://agrovibor.com.ua/img/m/3.jpg
